Date,Game,Coop,james,john,robert,michael,william,david,richard,joseph,thomas,charles,chris,daniel,matt,tony
6/5/19,Sushi Go!,,,1,0,0,,,,,0,,,,,
6/5/19,Sushi Go!,,,0,0,0,,,,,1,,,,,
6/5/19,Love Letter,,,,,,0,0,,1,,0,0,,,
6/4/19,Sushi Go!,,,1,0,0,,,,,0,,,,,
6/4/19,Sushi Go!,,,0,0,0,,,,,1,,,,,
6/4/19,Love Letter,,,,,0,0,,,,1,0,0,,,
6/3/19,Scopa,,,0,0,,,1,,1,,,,,,
6/3/19,Scopa,,,1,1,,,0,,0,,,,,,
6/1/19,Saboteur,,0,0,,0,0,1,0,0,0,0,0,,,
5/30/19,Welcome To,,1,0,0,0,0,0,0,,0,0,0,,,
5/30/19,Welcome To,,0,0,1,0,0,0,0,,0,0,0,,,
5/25/19,Love Letter,,,0,,0,,0,1,0,0,,0,,,
5/24/19,Saboteur,,0,0,,0,,0,,0,0,,1,,,
5/22/19,Love Letter,,0,0,,0,0,0,0,1,0,,,,,
5/18/19,Love Letter,,0,,0,0,1,0,,,0,,,,,
5/17/19,Love Letter,,,1,0,0,0,0,,,0,,,,,
5/17/19,Love Letter,,,,,,,1,0,0,,,,,,
5/17/19,Tsuro,,,0,,0,0,0,0,,1,,,,,
5/17/19,Tsuro,,,0,,1,1,0,0,,0,,,,,
5/17/19,Tsuro,,,0,,0,1,0,0,,0,,,,,
5/16/19,Coup,,,,0,0,1,0,0,,0,,,,,
5/16/19,Coup,,,,0,0,0,0,1,,0,,,,,
5/15/19,Love Letter,,1,,0,0,0,0,0,,,,,,,
5/14/19,Welcome To,,,0,1,0,,0,0,0,0,,,,,
5/11/19,Love Letter,,1,0,,,,,,,,,,,,
5/10/19,Scopa,,1,0,0,1,,,,,,,,,,
5/9/19,Welcome To,,0,0,1,0,0,0,,0,0,,,,,
5/8/19,Scopa,,,0,1,,,1,,0,,,,,,
5/7/19,Welcome To,,0,0,0,,,0,,0,1,,,,,
5/7/19,Coup: Rebellion,,1,0,0,,,,,0,0,,,,,
5/7/19,Coup: Rebellion,,0,0,0,,,,,0,1,,,,,
5/6/19,Coup: Rebellion,,0,0,0,0,,,,0,1,,,,,
5/4/19,Scopa,,,0,1,,,1,,0,,,,,,
5/3/19,Love Letter,,0,1,,,0,0,,0,,,,,,
5/3/19,Love Letter,,0,0,,,0,1,,0,,,,,,
5/1/19,Welcome To,,0,0,0,,,0,,,1,,,,,
